Week,Date,Topic,Handouts,Readings,HW
Week 1,25-Aug,Introduction,"<a href=""../slides/Intro/intro.pdf"">Introduction</a>  (<a href=""../slides/Intro/intro.R"">R Code</a>, <a href=""../slides/Intro/spinalbonedata.txt"">SpinalData</a>)","Read <a href=""http://getitatduke.library.duke.edu/?sid=sersol&SS_jc=TC0000830666&title=Bayesian%20and%20frequentist%20regression%20methods""> Wakefield Chapter 1 </a>",
,27-Aug,Maximum Likelihood,"<a href=""../slides/MLES/mles.pdf"">MLEs</a> ","Read <a href=""http://getitatduke.library.duke.edu/?sid=sersol&SS_jc=TC0000508493&title=Plane%20Answers%20to%20Complex%20Questions%3A%20The%20Theory%20of%20Linear%20Models"" >  Christensen Ch 1-2 & Appendix A </a>","<a href=""../hw/MLES/HW1.pdf""> HW1</a> (Due Sept 1)"
Week 2,1-Sep,Multivariate Normal Theory,"<a href=""../slides/NormalTheory/multnorm.pdf"">Normal Theory</a> ","Read <a href=""http://getitatduke.library.duke.edu/?sid=sersol&SS_jc=TC0000508493&title=Plane%20Answers%20to%20Complex%20Questions%3A%20The%20Theory%20of%20Linear%20Models"" >  Christensen Ch 1 </a>","<a href=""../hw/NormalTheory/HW2.pdf""> HW2</a> (Due Sept 3)"
,3-Sep,Sampling Distributions t and Chi-squared,"<a href=""../slides/SamplingDist/sampling.pdf"">Sampling DistributionsTheory</a> ","Read <a href=""http://getitatduke.library.duke.edu/?sid=sersol&SS_jc=TC0000508493&title=Plane%20Answers%20to%20Complex%20Questions%3A%20The%20Theory%20of%20Linear%20Models"" >  Christensen Ch 1-2 & Appendix C </a>","<a href=""../hw/Sampling/HW3.pdf""> HW3</a> (Due Sept 8)"
Week 2,8-Sep,Predictive Distributions & Properties of MLES,"<a href=""../slides/Pred+Prop/predictions.pdf"">Predictive Distributions</a> ","Read <a href=""http://getitatduke.library.duke.edu/?sid=sersol&SS_jc=TC0000508493&title=Plane%20Answers%20to%20Complex%20Questions%3A%20The%20Theory%20of%20Linear%20Models"" >  Christensen Ch 2  & 6.3 </a>","<a href=""../hw/Pred+Prop/HW4.pdf""> HW4</a> (Due Sept 11)"
,10-Sep,Gauss Markov & Prediction,"<a href=""../slides/Gauss-Markov/gm.pdf"">Gauss Markov</a>. <a href=""../slides/Gauss-Markov/estimability.R"">R code</a> ",Christensen Chapter 2,"<a href=""../hw/Gauss-Markov/HW5.pdf""> HW5</a> (Due Sept 15)"
Week 3,15-Sep,Bayesian Regression,"<a href=""../slides/Bayes-Intro/Bayes-Intro.pdf"">Bayes Intro</a>","Read <a href=""http://getitatduke.library.duke.edu/?sid=sersol&SS_jc=TC0000508493&title=Plane%20Answers%20to%20Complex%20Questions%3A%20The%20Theory%20of%20Linear%20Models"" >  Christensen Ch 2 </a>","<a href=""../hw/Bayes-Intro/HW6.pdf""> HW6</a> (Due Sept 17)"
,17-Sep,Conjugate Priors,"<a href=""../slides/Priors/priors.pdf"">Priors</a>",,"<a href=""../hw/Priors/HW7.pdf""> HW7</a> (Due Sept 22)"
Week 4,22-Sep,Jeffreys Priors & Formal Bayes ,"<a href=""../slides/MorePriors/morepriors.pdf""> More Priors</a>",,"<a href=""../hw/MorePriors/HW8.pdf""> HW8</a> (Due Sept 25)"
,24-Sep,Comparisons,"<a href=""../slides/Estimation/estimation.pdf""> Mixture Priors & Estimators</a>, <a href=""../slides/Estimation/gprior.R""> R & JAGS code</a>",Hoff Chapter 2,"<a href=""../hw/Estimation/HW9.pdf""> HW9</a> (Due Sept 29)"
